What is your gender?,What is your age?,What is your race?,Are you hispanic?,What is your level of education?,What is your income?
Female,25,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Male,45,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$75,000 - $99,999"
Male,39,White/Caucasian,"Yes, Other",Some high school,"Less than $14,999"
Female,80,Other,"Yes, Other",No high school,NA
Male,52,Other,"Yes, Other","High school graduate or equivalent (i.e., GED)","$75,000 - $99,999"
Female,73,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999"
Male,74,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)",Refused
Female,86,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$25,000 - $34,999"
Male,78,White/Caucasian,"Yes, Other",Some high school,"$25,000 - $34,999"
Female,53,Two or more races,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999"
Female,50,Black/ African American/ Caribbean American,"Yes, Puerto Rican","Associate degree (i.e., AA, AS)","$35,000 - $49,999"
Male,45,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$50,000 - $74,999"
Female,73,Other,"Yes, Other",Some high school,"Less than $14,999"
Female,53,White/Caucasian,"Yes, Mexican, Mexican American, Chicano",Some college but degree not received or in progress,"$150,000-$199,999"
Male,22,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999"
Male,40,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999"
Female,65,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Female,70,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$35,000 - $49,999"
Female,42,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$35,000 - $49,999"
Male,19,Two or more races,"Yes, Mexican, Mexican American, Chicano",Some college but degree not received or in progress,"$35,000 - $49,999"
Female,72,Other,"Yes, Other",No high school,"Less than $14,999"
Male,34,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Female,999,Other,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999"
Female,44,Other,"Yes, Puerto Rican",Some college but degree not received or in progress,"Less than $14,999"
Male,71,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$50,000 - $74,999"
Female,40,Black/ African American/ Caribbean American,"Yes, Mexican, Mexican American, Chicano",Some college but degree not received or in progress,"Less than $14,999"
Male,59,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above"
Female,32,Black/ African American/ Caribbean American,"Yes, Other","Graduate degree (i.e., Master's, Professional, Doctorate)","$35,000 - $49,999"
Male,52,Native Hawaiian or Pacific Islander,"Yes, Other","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999"
Female,52,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$75,000 - $99,999"
Male,64,Other,"Yes, Other",Some high school,"$25,000 - $34,999"
Female,59,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","Less than $14,999"
Male,33,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$35,000 - $49,999"
Female,48,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$35,000 - $49,999"
Female,59,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Female,61,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Male,49,Other,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999"
Male,37,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Female,59,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$35,000 - $49,999"
Female,60,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$50,000 - $74,999"
Female,30,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$25,000 - $34,999"
Male,82,Black/ African American/ Caribbean American,"Yes, Other",Some high school,"Less than $14,999"
Female,40,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Female,39,Other,"Yes, Other",No high school,"Less than $14,999"
Female,70,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999"
Male,58,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$25,000 - $34,999"
Male,28,Other,"Yes, Other","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Female,29,Black/ African American/ Caribbean American,"Yes, Mexican, Mexican American, Chicano","Bachelor's degree (i.e., BA, BS, AB)","$25,000 - $34,999"
Male,999,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Female,62,White/Caucasian,"Yes, Other",Some college but degree not received or in progress,"$25,000 - $34,999"
Male,53,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above"
Female,31,Black/ African American/ Caribbean American,"Yes, Puerto Rican","Associate degree (i.e., AA, AS)","$15,000 - $24,999"
Female,999,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above"
Female,39,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999"
Female,70,Two or more races,"Yes, Puerto Rican",Some high school,"$15,000 - $24,999"
Female,999,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$50,000 - $74,999"
Female,61,Other,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)","$35,000 - $49,999"
Female,58,Black/ African American/ Caribbean American,"Yes, Other",Some high school,"Less than $14,999"
Female,34,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$50,000 - $74,999"
Refused,999,NA,Refused,Some college but degree not received or in progress,Refused
Female,61,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,Refused
Female,53,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Male,81,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$35,000 - $49,999"
Female,48,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$25,000 - $34,999"
Female,69,Other,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999"
Female,68,Other,NA,"Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999"
Female,73,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Female,50,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)",NA
Female,77,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$50,000 - $74,999"
Female,22,Native Hawaiian or Pacific Islander,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"Less than $14,999"
Male,53,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some high school,"$25,000 - $34,999"
Female,999,Other,"Yes, Puerto Rican","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999"
Male,52,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$150,000-$199,999"
Male,60,Refused,Refused,"Bachelor's degree (i.e., BA, BS, AB)","$150,000-$199,999"
Female,46,Black/ African American/ Caribbean American,"Yes, Other","Associate degree (i.e., AA, AS)","$15,000 - $24,999"
Female,50,Other,"Yes, Mexican, Mexican American, Chicano",No high school,"Less than $14,999"
Female,60,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999"
Female,45,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$25,000 - $34,999"
Female,999,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$150,000-$199,999"
Female,26,Black/ African American/ Caribbean American,"Yes, Mexican, Mexican American, Chicano","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Female,53,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999"
Male,35,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$35,000 - $49,999"
Female,65,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"Less than $14,999"
Female,73,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$25,000 - $34,999"
Male,42,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$100,000 - $149,999"
Female,60,Other,"Yes, Puerto Rican",Some college but degree not received or in progress,"Less than $14,999"
Female,39,Black/ African American/ Caribbean American,"Yes, Other",Some high school,"Less than $14,999"
Female,64,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999"
Female,45,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$35,000 - $49,999"
Female,55,Black/ African American/ Caribbean American,"Yes, Other",Some college but degree not received or in progress,"$25,000 - $34,999"
Female,64,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999"
Male,55,Two or more races,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$100,000 - $149,999"
Female,80,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$15,000 - $24,999"
Male,60,White/Caucasian,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Female,45,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999"
Female,55,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Male,84,White/Caucasian,"Yes, Other","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999"
Female,55,Other,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Male,53,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$150,000-$199,999"
Male,68,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Female,53,Black/ African American/ Caribbean American,"Yes, Other",No high school,"Less than $14,999"
Female,76,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999"
Female,52,Two or more races,"Yes, Puerto Rican",Some high school,"Less than $14,999"
Male,66,Two or more races,"Yes, Puerto Rican","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999"
Female,54,Other,"Yes, Other","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Female,54,Black/ African American/ Caribbean American,"Yes, Other",Some college but degree not received or in progress,"Less than $14,999"
Male,65,American Indian or Alaska Native,"Yes, Other",Some high school,"Less than $14,999"
Male,30,Refused,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$50,000 - $74,999"
Male,999,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Male,24,Other,"Yes, Other",Some college but degree not received or in progress,"$50,000 - $74,999"
