Id,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,CompTotal,ConvertedComp,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro
102,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,20,15,NA,NA,NA,United States,NA,NA,MySQL;SQLite,MongoDB;MySQL;SQLite,NA,Some college/university study without earning a degree,Student,White or of European descent,Man,"Languages, frameworks, and other technologies Iü??d be working with;Office environment or company culture;Opportunities for professional development",NA,"Iü??m not actively looking, but I am open to new opportunities",HTML/CSS;JavaScript;Python;SQL,HTML/CSS;Java;JavaScript;Python;SQL,NA,NA,Github;Gitlab,Github;Gitlab,NA,NA,NA,NA,NA,Once a year,Yes,NA,No,NA,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Go for a walk or other physical activity,MacOS,NA,MacOS,AWS;Heroku;MacOS,NA,Straight / Heterosexual,Yes,"Yes, definitely",Multiple times per day,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Flask;jQuery,Flask;jQuery,Just as welcome now as I felt last year,NA,3,NA
103,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,38,16,Monthly,NA,NA,Bosnia and Herzegovina,Bosnia and Herzegovina convertible mark,BAM,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;Redis,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;Redis,"Data or business analyst;Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack;DevOps specialist;Engineer, data;System administrator","Bachelorü??s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",White or of European descent,Man,How widely used or impactful my work output would be;Office environment or company culture;Opportunities for professional development,Slightly satisfied,"Iü??m not actively looking, but I am open to new opportunities",C#;HTML/CSS;JavaScript;PHP;SQL,C#;HTML/CSS;JavaScript;PHP;SQL,.NET Core;Chef;Cordova,.NET Core;Cordova,Github;Gitlab;Slack;Trello,Github;Gitlab;Slack;Trello,No,Extremely important,Fairly important,Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Every few months,Not sure,No,Yes,Often: 1-2 days per week or more,Start a free trial;Ask developers I know/work with,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Watch help / tutorial videos,Linux-based,20 to 99 employees,Linux;Windows,Linux;Windows,NA,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,Multiple times per day,Easy,Too long,No,"Information systems, information technology, or system administration",Angular;ASP.NET Core;Laravel,ASP.NET Core;jQuery;Laravel,Just as welcome now as I felt last year,NA,10,8
104,I am a developer by profession,Yes,28,16,Yearly,40000,40000,United States,United States dollar,USD,Microsoft SQL Server,Microsoft SQL Server;MySQL;Oracle,"Developer, back-end","Bachelorü??s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,"Languages, frameworks, and other technologies Iü??d be working with;Office environment or company culture;Opportunities for professional development",Very satisfied,"Iü??m not actively looking, but I am open to new opportunities",C#;HTML/CSS;Python;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,.NET Core;Node.js,.NET;.NET Core;Node.js,Confluence;Jira;Microsoft Teams;Microsoft Azure,Confluence;Jira;Slack;Microsoft Teams;Microsoft Azure,No,Extremely important,Very important,Better compensation;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Directly asking current or past employees at the company",Every few months,No,Yes,No,Rarely: 1-2 days per year or less,NA,Annoyed,Stack Overflow (public Q&A for anyone who codes),Play games;Visit Stack Overflow,Windows,20 to 99 employees,Microsoft Azure,Microsoft Azure,I have little or no influence,Straight / Heterosexual,Yes,"No, not really",I have never participated in Q&A on Stack Overflow,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;ASP.NET Core;Vue.js,Angular;ASP.NET;ASP.NET Core;jQuery;Vue.js,Just as welcome now as I felt last year,40,6,Less than 1 year
105,I am a developer by profession,Yes,24,12,Monthly,3550,46044,Germany,European Euro,EUR,Microsoft SQL Server;MySQL,Microsoft SQL Server;MySQL;Oracle,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack","Professional degree (JD, MD, etc.)",Employed full-time,White or of European descent,Man,"Industry that Iü??d be working in;Languages, frameworks, and other technologies Iü??d be working with;Office environment or company culture",Slightly dissatisfied,I am actively looking for a job,HTML/CSS;Java;SQL;Swift,C#;HTML/CSS;Java;JavaScript;SQL,NA,.NET Core,Github,Github,No,Extremely important,Fairly important,Having a bad day (or week or month) at work;Better compensation;Trouble with leadership at my company;Wanting to work with new technologies,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind)",Once a year,No,Yes,No,Sometimes: 1-2 days per month but less than weekly,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers);Stack Overflow for Teams (private Q&A for organizations),Call a coworker or friend;Visit Stack Overflow;Panic;Watch help / tutorial videos;Do other work and come back later,Windows,"1,000 to 4,999 employees",iOS;MacOS,Windows,I have little or no influence,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",ASP.NET;ASP.NET Core,ASP.NET;ASP.NET Core,Just as welcome now as I felt last year,40,12,3
106,I am a developer by profession,Yes,29,13,Yearly,148000,148000,United States,United States dollar,USD,MongoDB;PostgreSQL,MongoDB,"Developer, front-end;Developer, full-stack","Bachelorü??s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Woman,Flex time or a flexible schedule;How widely used or impactful my work output would be;Opportunities for professional development,Very dissatisfied,I am actively looking for a job,HTML/CSS;JavaScript;Rust;TypeScript,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Rust;TypeScript,Node.js;TensorFlow,Node.js,Github;Slack,Jira;Github;Slack,Yes,Somewhat important,Somewhat important,Curious about other opportunities;Better compensation;Trouble with leadership at my company;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once a year,Not sure,No,Yes,Rarely: 1-2 days per year or less,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit;Research companies that have emailed me,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,MacOS,100 to 499 employees,Docker,Docker,I have some influence,Gay or Lesbian,Not sure/can't remember,Neutral,NA,A few times per week,Easy,Appropriate in length,No,"A humanities discipline (such as literature, history, philosophy, etc.)",Gatsby;React.js;Vue.js,Gatsby;React.js,Somewhat more welcome now than last year,45,5,5
107,I am a developer by profession,Yes,NA,30,NA,NA,NA,United Kingdom,NA,NA,MariaDB;Microsoft SQL Server;MySQL;SQLite,MariaDB;Microsoft SQL Server;MySQL;SQLite,NA,NA,Retired,NA,NA,NA,NA,NA,C#;SQL,C#;SQL,NA,NA,NA,NA,NA,NA,Fairly important,NA,NA,Once every few years,No,NA,NA,NA,NA,Amused,Stack Overflow (public Q&A for anyone who codes),NA,Windows,NA,Windows,Windows,NA,NA,Yes,"No, not really",Multiple times per day,Multiple times per day,NA,NA,NA,NA,NA,NA,A lot less welcome now than last year,NA,35,NA
108,I am a developer by profession,Yes,NA,11,NA,NA,NA,United States,NA,NA,MongoDB,MongoDB;MySQL;PostgreSQL;SQLite,NA,"Bachelorü??s degree (B.A., B.S., B.Eng., etc.)",Student,Hispanic or Latino/a/x;White or of European descent,Man,Diversity of the company or organization;How widely used or impactful my work output would be;Office environment or company culture,NA,I am actively looking for a job,Go;HTML/CSS;JavaScript;Julia;Python;Rust;TypeScript,HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Flutter;Keras;Node.js;Pandas;React Native,Keras;Node.js;Pandas;React Native,"Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)","Github;Microsoft Teams;Trello;Google Suite (Docs, Meet, etc)",NA,NA,NA,Wanting to share accomplishments with a wider network;Curious about other opportunities;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Every few months,Not sure,NA,No,NA,Ask developers I know/work with;Visit developer communities like Stack Overflow,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,MacOS,NA,Android;Docker;Google Cloud Platform;iOS;Kubernetes;Linux;MacOS;Raspberry Pi,Android;Docker;Google Cloud Platform;iOS;Linux;MacOS;Raspberry Pi,NA,Gay or Lesbian,Yes,"Yes, definitely",I have never participated in Q&A on Stack Overflow,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;Angular.js;Express;Flask;jQuery;React.js;Vue.js,Express;Flask;jQuery;React.js,A lot more welcome now than last year,NA,6,NA
109,I am a developer by profession,No,45,11,Yearly,130000,130000,United States,United States dollar,USD,MariaDB;Microsoft SQL Server;MongoDB,MariaDB;Microsoft SQL Server;MongoDB,"Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, mobile;Developer, QA or test;DevOps specialist","Masterü??s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,South Asian,Man,Diversity of the company or organization;Financial performance or funding status of the company or organization;Opportunities for professional development,Neither satisfied nor dissatisfied,"Iü??m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;C;C++;Go;HTML/CSS;Java;JavaScript;Python;Ruby;SQL;TypeScript,Bash/Shell/PowerShell;C;C++;Go;HTML/CSS;Java;JavaScript;Python;Ruby;SQL;TypeScript,.NET;.NET Core;Node.js,.NET;.NET Core;Node.js,Confluence;Jira;Github;Slack;Microsoft Azure,Confluence;Jira;Github;Slack;Microsoft Azure,Yes,Somewhat important,Critically important,Curious about other opportunities;Better compensation;Trouble with my teammates;Trouble with my direct manager;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once a year,Not sure,No,No,Never,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Go for a walk or other physical activity;Do other work and come back later,Linux-based,"5,000 to 9,999 employees",Android;AWS;Docker;iOS;Linux;Slack Apps and Integrations;Windows;WordPress,Android;AWS;Docker;iOS;Linux;Slack Apps and Integrations;Windows;WordPress,I have little or no influence,Straight / Heterosexual,Yes,Neutral,I have never participated in Q&A on Stack Overflow,A few times per week,Easy,Too long,No,"Computer science, computer engineering, or software engineering",Angular;jQuery;React.js;Spring,Angular;Angular.js;jQuery;React.js;Spring,Just as welcome now as I felt last year,NA,30,21
110,I am a student who is learning to code,Yes,25,20,NA,NA,NA,Germany,NA,NA,NA,NA,NA,"Bachelorü??s degree (B.A., B.S., B.Eng., etc.)",Student,Middle Eastern,Woman,"Diversity of the company or organization;Languages, frameworks, and other technologies Iü??d be working with;Office environment or company culture",NA,"Iü??m not actively looking, but I am open to new opportunities",Java;JavaScript;Python;TypeScript,HTML/CSS;Java;JavaScript;Python;TypeScript,Node.js,Node.js,"Github;Google Suite (Docs, Meet, etc)","Github;Slack;Google Suite (Docs, Meet, etc)",NA,NA,NA,NA,NA,Once a year,Yes,NA,No,NA,Start a free trial;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,Linux-based,NA,Android;AWS;Google Cloud Platform;Heroku;Linux,Android;AWS;Google Cloud Platform;Heroku;iOS;Linux;MacOS;Slack Apps and Integrations,NA,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,A few times per week,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;Express;jQuery,Angular;Express;jQuery,Just as welcome now as I felt last year,NA,6,NA
111,I am a developer by profession,Yes,28,16,Yearly,65000,65000,United States,United States dollar,USD,Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL,Oracle;PostgreSQL,"Academic researcher;Data or business analyst;Database administrator;Engineer, data","Masterü??s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,South Asian,Man,Specific department or team Iü??d be working on;How widely used or impactful my work output would be;Office environment or company culture,Slightly satisfied,I am actively looking for a job,Bash/Shell/PowerShell;Go;JavaScript;Python;SQL;VBA,Python;SQL,Apache Spark;Hadoop;Pandas,Hadoop;Pandas,"Github;Google Suite (Docs, Meet, etc)","Google Suite (Docs, Meet, etc)",Not sure,Neutral,Fairly important,Having a bad day (or week or month) at work;Curious about other opportunities;Better compensation;Trouble with my teammates;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Directly asking current or past employees at the company",Every few months,Not sure,Yes,No,Often: 1-2 days per week or more,NA,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Windows,"10,000 or more employees",AWS;Google Cloud Platform;MacOS;Microsoft Azure;Windows,AWS;MacOS;Windows,I have little or no influence,Straight / Heterosexual,Yes,"Yes, definitely",A few times per month or weekly,A few times per week,Easy,Appropriate in length,No,"Information systems, information technology, or system administration",NA,NA,Just as welcome now as I felt last year,40,11,3
