What is your gender?,What is your age?,What is your race?,Are you hispanic?,What is your level of education?,What is your income?,What area of New York are you from?,Do you have a drivers license?,Opinion of the subway,Has this affected how often you use the subway?,Opinion on the bus service,Has this affected how often you use the bus,Relationship status,Do you get state welfare?,Are you disabled?,What type of building do you live in?,Do you rent or own your house?,Employment Status,What type of industry do you work in?,What is your preferred language?
Female,45,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Manhattan Core,Yes,Staying the same,NA,Getting worse,NA,Married,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),"Professional & Business Services (consulting, legal, marketing)",NA
Male,55,Other,"Yes, Cuban","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999",Manhattan Core,Yes,Getting worse,I use the subway less frequently,Staying the same,NA,Married,No,No,A building with 10 to 49 apartments,Own,Employed full time (working more than 30 hours per week),Arts & Entertainment,NA
Female,64,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","Less than $14,999",Southern Bronx,No,Getting worse,I use the subway less frequently,Getting better,I take the bus more frequently,Single,No,No,A building with 50 or more apartments,Rent,Unemployed,NA,NA
Female,54,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","Less than $14,999",Outer Brooklyn,No,Getting worse,NA,NA,NA,Single,No,No,A building with 50 or more apartments,Rent,Employed part time (working less than 30 hours per week),Health Care/Social Assistance,NA
Female,76,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$35,000 - $49,999",Inner Brooklyn,No,Staying the same,NA,Getting worse,I take the bus less frequently,Married,No,No,A building with 2 to 9 apartments,Rent,Retired,NA,NA
Female,45,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999",Northern Manhattan,No,Getting worse,I use the subway the same amount,Getting worse,I take the bus less frequently,Single,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Non-profit,NA
Female,69,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999",Inner Brooklyn,No,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 50 or more apartments,Rent,Retired,NA,NA
Female,58,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"Less than $14,999",Northern Bronx,No,Getting worse,I use the subway less frequently,Getting better,I take the bus the same amount,Single,No,No,A building with 10 to 49 apartments,Rent,Other,NA,NA
Female,32,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$100,000 - $149,999",Outer Brooklyn,No,Staying the same,NA,Staying the same,NA,Married,No,No,A building with 10 to 49 apartments,Rent,Employed part time (working less than 30 hours per week),Education,NA
Male,32,Black/ African American/ Caribbean American,"Yes, Other",Some high school,"$25,000 - $34,999",Southern Bronx,No,Getting worse,I use the subway more frequently,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Health Care/Social Assistance,NA
Female,79,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some high school,"Less than $14,999",Inner Brooklyn,No,Staying the same,NA,Getting better,Refused,Widowed,No,No,A building with 2 to 9 apartments,Rent,Other,NA,NA
Female,55,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Outer Brooklyn,Yes,Getting worse,I use the subway less frequently,Getting worse,I take the bus less frequently,Married,No,No,A building with 2 to 9 apartments,Own,Employed full time (working more than 30 hours per week),Education,NA
Female,56,Other,"Yes, Other","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999",Inner Brooklyn,Yes,Refused,NA,Staying the same,NA,Married,No,No,A one family house attached to one or more houses,Own,Employed full time (working more than 30 hours per week),Education,NA
Male,26,Black/ African American/ Caribbean American,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)","Less than $14,999",Southern Bronx,No,Getting better,I use the subway more frequently,Getting better,I take the bus the same amount,Single,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Other,NA
Female,64,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$35,000 - $49,999",Northern Bronx,No,Staying the same,NA,Getting better,I take the bus the same amount,Married,No,No,A building with 2 to 9 apartments,Rent,Retired,NA,NA
Female,67,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$150,000-$199,999",Staten Island,Yes,Getting better,I use the subway more frequently,Getting worse,I take the bus less frequently,Married,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Education,NA
Female,50,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$100,000 - $149,999",Staten Island,Yes,Staying the same,NA,Getting worse,I take the bus less frequently,Married,No,No,A one family house attached to one or more houses,Own,Employed full time (working more than 30 hours per week),Other,NA
Female,999,Black/ African American/ Caribbean American,"Yes, Other",Some college but degree not received or in progress,"$50,000 - $74,999",Outer Brooklyn,No,Getting worse,I use the subway the same amount,Getting worse,I take the bus the same amount,Single,No,No,NA,NA,Unemployed,NA,NA
Female,56,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",No high school,"$15,000 - $24,999",Inner Brooklyn,No,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 50 or more apartments,Rent,Other,NA,NA
Female,60,Other,"Yes, Mexican, Mexican American, Chicano",Some high school,"$15,000 - $24,999",Manhattan Core,No,Getting better,I use the subway less frequently,Getting better,I take the bus the same amount,Married,No,No,A one family house attached to one or more houses,Own,Unemployed,NA,NA
Female,19,Other,"Yes, Puerto Rican",Some college but degree not received or in progress,"Less than $14,999",Staten Island,Yes,Getting better,I use the subway the same amount,Staying the same,NA,Single,No,No,A one family house detached from any other house,Own,Employed part time (working less than 30 hours per week),Financial services,NA
Male,61,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$200,000 and above",Staten Island,Yes,Getting worse,Refused,Getting worse,I take the bus less frequently,Married,No,No,A one family house detached from any other house,Own,Retired,NA,NA
Female,83,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999",Staten Island,Yes,Staying the same,NA,Staying the same,NA,Divorced,No,No,A one family house detached from any other house,Own,Retired,NA,NA
Female,46,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Staten Island,Yes,Getting worse,I use the subway less frequently,Getting better,I take the bus the same amount,Divorced,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Financial services,NA
Female,53,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$50,000 - $74,999",Staten Island,Yes,Getting worse,I use the subway less frequently,Getting worse,I take the bus the same amount,Married,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Education,NA
Female,58,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Northern Manhattan,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Married,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Health Care/Social Assistance,NA
Male,75,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$15,000 - $24,999",Manhattan Core,No,Getting worse,I use the subway less frequently,Staying the same,NA,Widowed,No,No,A building with 50 or more apartments,Rent,Retired,NA,NA
Female,63,Other,"Yes, Other","High school graduate or equivalent (i.e., GED)","$50,000 - $74,999",Northern Manhattan,Yes,Getting worse,I use the subway less frequently,Getting worse,I take the bus less frequently,Single,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Other,NA
Female,69,Other,"Yes, Other",Some high school,"Less than $14,999",Northern Manhattan,No,Staying the same,NA,Staying the same,NA,Widowed,No,No,A building with 50 or more apartments,Rent,Retired,NA,NA
Male,55,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$25,000 - $34,999",Northern Manhattan,Yes,Staying the same,NA,Staying the same,NA,Married,No,No,NA,NA,Employed full time (working more than 30 hours per week),Financial services,NA
Female,67,White/Caucasian,"Yes, Other",Some high school,"Less than $14,999",Northern Manhattan,No,Getting better,I use the subway the same amount,Staying the same,NA,Widowed,Yes,No,A building with 10 to 49 apartments,Rent,Retired,NA,NA
Female,51,Other,"Yes, Other","High school graduate or equivalent (i.e., GED)","$50,000 - $74,999",Northern Manhattan,No,Staying the same,NA,NA,NA,Married,No,No,A building with 10 to 49 apartments,Rent,Unemployed,NA,NA
Female,70,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$25,000 - $34,999",Northern Manhattan,No,NA,NA,Staying the same,NA,Widowed,No,No,A building with 10 to 49 apartments,Rent,Retired,NA,NA
Female,75,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"Less than $14,999",Manhattan Core,No,Staying the same,NA,Getting worse,I take the bus less frequently,Divorced,No,No,A building with 50 or more apartments,Rent,Retired,NA,NA
Female,53,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$50,000 - $74,999",Staten Island,Yes,Staying the same,NA,Getting worse,I take the bus less frequently,Married,No,No,NA,NA,Stay-at-home parent,NA,NA
Male,72,Other,"Yes, Other","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999",Northern Manhattan,Yes,Staying the same,NA,Staying the same,NA,Living in a committed partnership,No,No,A building with 50 or more apartments,Rent,Retired,NA,NA
Male,60,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$35,000 - $49,999",Outer Brooklyn,No,Getting worse,I use the subway less frequently,Getting worse,I take the bus the same amount,Married,No,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Retail,NA
Female,75,Other,"Yes, Other",Some high school,"$15,000 - $24,999",Northern Manhattan,No,Staying the same,NA,Staying the same,NA,Widowed,No,No,NA,NA,Retired,NA,NA
Female,65,Other,"Yes, Other","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999",Northern Manhattan,No,Getting better,I use the subway the same amount,Getting better,I take the bus the same amount,Divorced,No,No,A building with 10 to 49 apartments,Rent,Employed part time (working less than 30 hours per week),Health Care/Social Assistance,NA
Male,85,White/Caucasian,"Yes, Cuban","Associate degree (i.e., AA, AS)","Less than $14,999",Northern Manhattan,No,Staying the same,NA,Getting better,I take the bus more frequently,Widowed,No,No,A building with 10 to 49 apartments,Rent,Retired,NA,NA
Female,73,Other,"Yes, Other","High school graduate or equivalent (i.e., GED)","Less than $14,999",Manhattan Core,No,NA,NA,Staying the same,NA,Divorced,No,No,A building with 2 to 9 apartments,Rent,Unemployed,NA,NA
Female,57,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$50,000 - $74,999",Staten Island,Yes,Getting worse,I use the subway less frequently,Staying the same,NA,Married,No,No,I am homeless,NA,Employed part time (working less than 30 hours per week),Education,NA
Female,55,Other,"Yes, Other",Some college but degree not received or in progress,"$25,000 - $34,999",Southern Bronx,No,Getting worse,I use the subway less frequently,Getting worse,I take the bus less frequently,Divorced,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Education,NA
